USlope,UTrend,RSlope,RTrend
-0.0012284464881252885,decreasing,-0.0011629688524405386,decreasing
-0.0004996243960843026,decreasing,-0.000431967897389102,decreasing
-0.0003793538971046164,decreasing,-0.0003192296800236093,decreasing
-0.001323946713113122,decreasing,-0.0012456092647618927,decreasing
-0.0010262302236174199,decreasing,-0.0009433101363902472,decreasing
-0.002211722269575511,decreasing,-0.0022533642226777737,decreasing
-0.0010702327556869234,decreasing,-0.0010299084937485188,decreasing
-0.0018147047191926587,decreasing,-0.0018852965076381959,decreasing
-0.002795829843675242,decreasing,-0.0027086297062040316,decreasing
-0.0020315394676000886,decreasing,-0.002087842769851807,decreasing
-0.0016004373823656777,decreasing,-0.0014887420979286037,decreasing
-0.0007005913728587565,decreasing,-0.0007646051119253916,decreasing
-0.0011181604935369088,decreasing,-0.0009691172990316988,decreasing
-0.000861827386024169,decreasing,-0.0008018450019746389,decreasing
-0.0009989561717489678,decreasing,-0.0009134071903210584,decreasing
-0.0018487451837209872,decreasing,-0.0018771071538145677,decreasing
-0.001723379422074464,decreasing,-0.0016491507564890197,decreasing
-0.0019817115142808472,decreasing,-0.0019817227840924607,decreasing
-0.0013436003735163525,decreasing,-0.0011315928843496164,decreasing
-0.0014107055939977101,decreasing,-0.0013700744332141245,decreasing
-0.0010089292198603166,decreasing,-0.0010632846069672075,decreasing
-0.0007482186654895646,decreasing,-0.0006805514955216882,decreasing
-0.003164641082881878,decreasing,-0.0030294289048429118,decreasing
-0.0016121204081106922,decreasing,-0.0016465585738836977,decreasing
-0.0005102539172535711,decreasing,-0.00040942446013418735,decreasing
-0.004402722756708663,decreasing,-0.004402638008178504,decreasing
-0.002202240949231663,decreasing,-0.0021566828347571623,decreasing
-0.0010926624531538255,decreasing,-0.0010433443020610171,decreasing
-3.7538890371871343e-05,no trend,0.0001310985400495683,no trend
-0.0005222269326959851,decreasing,-0.0005828064158989412,decreasing
